production_item_id;first_cut_length;intermediate_cut_length;length;actual_length;creation_date;modification_date;Status;cutting_slip_id;Shape;Profile;spceLenght;weight_lbs_per_foot;width;StartDateTime;EndDateTime;DateDiff;prod_date;prod_day;start_time;end_time;prod_delta_s;bridge_s
9;100;10;2743.2;2991;2021-11-17 18:00;2021-11-17 18:06;COMPLETED;9;L3x3x1;Angle;2209.80005;1.42;62.9;2021-11-17 18:02;2021-11-17 18:05;3       ;2021-11-17;17;18:02:07;18:05:54;227.41;0
11;10;10;6096;6207;2021-11-18 14:18;2021-11-18 14:28;COMPLETED;11;L;Angle;2209.80005;1.42;62.9;2021-11-18 14:19;2021-11-18 14:24;5       ;2021-11-18;18;14:19:49;14:24:40;290.47;0
11;10;10;6096;6207;2021-11-18 14:18;2021-11-18 14:28;COMPLETED;11;L;Angle;2209.80005;1.42;62.9;2021-11-18 14:24;2021-11-18 14:28;4       ;2021-11-18;18;14:24:40;14:28:37;236.96;0
12;10;10;6096;6157;2021-11-18 14:39;2021-11-18 14:49;COMPLETED;12;L;Angle;2209.80005;1.42;62.9;2021-11-18 14:40;2021-11-18 14:44;4       ;2021-11-18;18;14:40:58;14:44:49;231.61;741.042
12;10;10;6096;6157;2021-11-18 14:39;2021-11-18 14:49;COMPLETED;12;L;Angle;2209.80005;1.42;62.9;2021-11-18 14:44;2021-11-18 14:48;4       ;2021-11-18;18;14:44:49;14:48:49;239.40;0
13;10;10;6096;6182;2021-11-18 14:59;2021-11-18 15:08;COMPLETED;13;L;Angle;2209.80005;1.42;62.9;2021-11-18 15:04;2021-11-18 15:07;3       ;2021-11-18;18;15:04:01;15:07:58;236.97;912.0340002
15;10;10;6096;6178;2021-11-18 15:27;2021-11-18 15:36;COMPLETED;15;L;Angle;2209.80005;1.42;62.9;2021-11-18 15:28;2021-11-18 15:32;4       ;2021-11-18;18;15:28:23;15:32:13;229.20;1225.824
15;10;10;6096;6178;2021-11-18 15:27;2021-11-18 15:36;COMPLETED;15;L;Angle;2209.80005;1.42;62.9;2021-11-18 15:32;2021-11-18 15:36;4       ;2021-11-18;18;15:32:13;15:36:10;237.59;0
16;10;10;6096;6176;2021-11-18 15:39;2021-11-18 15:49;COMPLETED;16;L;Angle;2209.80005;1.42;62.9;2021-11-18 15:41;2021-11-18 15:45;4       ;2021-11-18;18;15:41:29;15:45:18;228.53;319.1970001
16;10;10;6096;6176;2021-11-18 15:39;2021-11-18 15:49;COMPLETED;16;L;Angle;2209.80005;1.42;62.9;2021-11-18 15:45;2021-11-18 15:49;4       ;2021-11-18;18;15:45:18;15:49:16;237.55;0
18;10;10;6096;6187;2021-11-18 16:17;2021-11-18 17:06;COMPLETED;18;L;Angle;2209.80005;1.42;62.9;2021-11-18 16:58;2021-11-18 17:02;4       ;2021-11-18;18;16:58:11;17:02:02;231.63;4135.207
18;10;10;6096;6187;2021-11-18 16:17;2021-11-18 17:06;COMPLETED;18;L;Angle;2209.80005;1.42;62.9;2021-11-18 17:02;2021-11-18 17:06;4       ;2021-11-18;18;17:02:02;17:06:25;262.25;0
21;10;10;6096;6174;2021-11-19 08:25;2021-11-19 08:37;COMPLETED;21;L;Angle;2209.80005;1.42;62.9;2021-11-19 08:26;2021-11-19 08:32;6       ;2021-11-19;19;08:26:55;08:32:42;347.46;0
21;10;10;6096;6174;2021-11-19 08:25;2021-11-19 08:37;COMPLETED;21;L;Angle;2209.80005;1.42;62.9;2021-11-19 08:32;2021-11-19 08:36;4       ;2021-11-19;19;08:32:42;08:36:39;236.35;0
22;10;10;6096;6171;2021-11-19 08:38;2021-11-19 08:54;COMPLETED;22;L;Angle;2209.80005;1.42;62.9;2021-11-19 08:46;2021-11-19 08:50;4       ;2021-11-19;19;08:46:44;08:50:33;229.19;605.4000003
22;10;10;6096;6171;2021-11-19 08:38;2021-11-19 08:54;COMPLETED;22;L;Angle;2209.80005;1.42;62.9;2021-11-19 08:50;2021-11-19 08:54;4       ;2021-11-19;19;08:50:33;08:54:30;237.03;0
23;10;10;6096;6184;2021-11-19 09:08;2021-11-19 09:18;COMPLETED;23;L;Angle;2209.80005;1.42;62.9;2021-11-19 09:09;2021-11-19 09:13;4       ;2021-11-19;19;09:09:52;09:13:43;231.00;922.1829997
23;10;10;6096;6184;2021-11-19 09:08;2021-11-19 09:18;COMPLETED;23;L;Angle;2209.80005;1.42;62.9;2021-11-19 09:13;2021-11-19 09:17;4       ;2021-11-19;19;09:13:43;09:17:39;235.23;0
27;10;10;6096;6180;2021-11-19 09:29;2021-11-19 09:51;COMPLETED;27;L;Angle;2006.59998;1.42;62.9;2021-11-19 09:30;2021-11-19 09:38;8       ;2021-11-19;19;09:30:46;09:38:40;474.55;787.2450001
27;10;10;6096;6180;2021-11-19 09:29;2021-11-19 09:51;COMPLETED;27;L;Angle;2006.59998;1.42;62.9;2021-11-19 09:38;2021-11-19 09:46;8       ;2021-11-19;19;09:38:40;09:46:50;489.57;0
27;10;10;6096;6180;2021-11-19 09:29;2021-11-19 09:51;COMPLETED;27;L;Angle;2006.59998;1.42;62.9;2021-11-19 09:46;2021-11-19 09:51;5       ;2021-11-19;19;09:46:50;09:51:02;252.01;0
28;10;10;6096;6173;2021-11-19 10:47;2021-11-19 11:04;COMPLETED;28;L;Angle;2006.59998;1.42;62.9;2021-11-19 10:48;2021-11-19 10:52;4       ;2021-11-19;19;10:48:58;10:52:51;232.85;3476.449
28;10;10;6096;6173;2021-11-19 10:47;2021-11-19 11:04;COMPLETED;28;L;Angle;2006.59998;1.42;62.9;2021-11-19 10:52;2021-11-19 10:57;5       ;2021-11-19;19;10:52:51;10:57:09;257.37;0
28;10;10;6096;6173;2021-11-19 10:47;2021-11-19 11:04;COMPLETED;28;L;Angle;2006.59998;1.42;62.9;2021-11-19 10:57;2021-11-19 11:03;6       ;2021-11-19;19;10:57:09;11:03:42;392.98;0
29;10;10;6096;6162;2021-11-19 11:05;2021-11-19 11:23;COMPLETED;29;L;Angle;2006.59998;1.42;62.9;2021-11-19 11:06;2021-11-19 11:10;4       ;2021-11-19;19;11:06:48;11:10:37;229.78;186.0080002
29;10;10;6096;6162;2021-11-19 11:05;2021-11-19 11:23;COMPLETED;29;L;Angle;2006.59998;1.42;62.9;2021-11-19 11:10;2021-11-19 11:15;5       ;2021-11-19;19;11:10:37;11:15:52;314.40;0
29;10;10;6096;6162;2021-11-19 11:05;2021-11-19 11:23;COMPLETED;29;L;Angle;2006.59998;1.42;62.9;2021-11-19 11:15;2021-11-19 11:23;8       ;2021-11-19;19;11:15:52;11:23:03;431.42;0
30;10;10;6096;6184;2021-11-19 11:24;2021-11-19 11:44;COMPLETED;30;L;Angle;2006.59998;1.42;62.9;2021-11-19 11:27;2021-11-19 11:32;5       ;2021-11-19;19;11:27:57;11:32:31;274.22;293.3599998
30;10;10;6096;6184;2021-11-19 11:24;2021-11-19 11:44;COMPLETED;30;L;Angle;2006.59998;1.42;62.9;2021-11-19 11:32;2021-11-19 11:36;4       ;2021-11-19;19;11:32:31;11:36:46;255.64;0
30;10;10;6096;6184;2021-11-19 11:24;2021-11-19 11:44;COMPLETED;30;L;Angle;2006.59998;1.42;62.9;2021-11-19 11:36;2021-11-19 11:43;7       ;2021-11-19;19;11:36:46;11:43:57;430.20;0
30005;9.525;9.525;12192;12238;2022-07-08 10:39;2022-07-17 06:27;COMPLETED;30005;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 10:40;2022-07-08 10:47;7       ;2022-07-08;8;10:40:22;10:47:32;430.14;0
30005;9.525;9.525;12192;12238;2022-07-08 10:39;2022-07-17 06:27;COMPLETED;30005;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 10:47;2022-07-08 10:54;7       ;2022-07-08;8;10:47:32;10:54:15;403.78;0
30005;9.525;9.525;12192;12238;2022-07-08 10:39;2022-07-17 06:27;COMPLETED;30005;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 10:54;2022-07-08 11:02;8       ;2022-07-08;8;10:54:16;11:02:32;496.18;0
30005;9.525;9.525;12192;12238;2022-07-08 10:39;2022-07-17 06:27;COMPLETED;30005;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 11:02;2022-07-08 11:18;16      ;2022-07-08;8;11:02:32;11:18:31;959.44;0
30006;9.525;9.525;12192;12237;2022-07-08 11:19;2022-07-17 06:27;DISCARDED;30006;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 11:21;2022-07-08 11:30;9       ;2022-07-08;8;11:21:08;11:30:05;537.06;156.5520005
30006;9.525;9.525;12192;12237;2022-07-08 11:19;2022-07-17 06:27;DISCARDED;30006;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 11:30;2022-07-08 11:36;6       ;2022-07-08;8;11:30:05;11:36:44;399.53;0
30006;9.525;9.525;12192;12237;2022-07-08 11:19;2022-07-17 06:27;DISCARDED;30006;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 11:36;2022-07-08 11:45;9       ;2022-07-08;8;11:36:44;11:45:29;524.33;0
30007;9.525;9.525;12192;12235;2022-07-08 13:00;2022-07-17 06:27;COMPLETED;30007;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 13:01;2022-07-08 13:08;7       ;2022-07-08;8;13:01:56;13:08:09;372.56;4587.622
30007;9.525;9.525;12192;12235;2022-07-08 13:00;2022-07-17 06:27;COMPLETED;30007;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 13:08;2022-07-08 13:14;6       ;2022-07-08;8;13:08:09;13:14:35;385.83;0
30007;9.525;9.525;12192;12235;2022-07-08 13:00;2022-07-17 06:27;COMPLETED;30007;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 13:14;2022-07-08 13:42;28      ;2022-07-08;8;13:14:35;13:42:26;1671.01;0
30007;9.525;9.525;12192;12235;2022-07-08 13:00;2022-07-17 06:27;COMPLETED;30007;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 13:42;2022-07-08 14:02;20      ;2022-07-08;8;13:42:26;14:02:50;1223.95;0
30008;9.525;9.525;12192;12242;2022-07-08 14:04;2022-07-17 06:27;COMPLETED;30008;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 14:05;2022-07-08 14:11;6       ;2022-07-08;8;14:05:29;14:11:44;374.96;159.0039995
30008;9.525;9.525;12192;12242;2022-07-08 14:04;2022-07-17 06:27;COMPLETED;30008;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 14:11;2022-07-08 14:17;6       ;2022-07-08;8;14:11:44;14:17:47;363.05;0
30008;9.525;9.525;12192;12242;2022-07-08 14:04;2022-07-17 06:27;COMPLETED;30008;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 14:17;2022-07-08 14:28;11      ;2022-07-08;8;14:17:47;14:28:07;620.41;0
30008;9.525;9.525;12192;12242;2022-07-08 14:04;2022-07-17 06:27;COMPLETED;30008;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 14:28;2022-07-08 14:46;18      ;2022-07-08;8;14:28:07;14:46:05;1077.53;0
30009;9.525;9.525;12192;12231;2022-07-08 14:56;2022-07-17 06:27;COMPLETED;30009;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 14:57;2022-07-08 15:04;7       ;2022-07-08;8;14:57:41;15:04:25;403.85;696.5890004
30009;9.525;9.525;12192;12231;2022-07-08 14:56;2022-07-17 06:27;COMPLETED;30009;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 15:04;2022-07-08 15:10;6       ;2022-07-08;8;15:04:25;15:10:32;366.57;0
30009;9.525;9.525;12192;12231;2022-07-08 14:56;2022-07-17 06:27;COMPLETED;30009;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 15:10;2022-07-08 15:16;6       ;2022-07-08;8;15:10:32;15:16:28;355.79;0
30009;9.525;9.525;12192;12231;2022-07-08 14:56;2022-07-17 06:27;COMPLETED;30009;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 15:16;2022-07-08 15:23;7       ;2022-07-08;8;15:16:28;15:23:10;402.53;0
30010;9.525;9.525;12192;12239;2022-07-08 15:25;2022-07-17 06:27;COMPLETED;30010;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 15:26;2022-07-08 15:33;7       ;2022-07-08;8;15:26:57;15:33:15;378.02;226.7289999
30010;9.525;9.525;12192;12239;2022-07-08 15:25;2022-07-17 06:27;COMPLETED;30010;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 15:33;2022-07-08 15:39;6       ;2022-07-08;8;15:33:15;15:39:20;365.41;0
30010;9.525;9.525;12192;12239;2022-07-08 15:25;2022-07-17 06:27;COMPLETED;30010;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 15:39;2022-07-08 15:45;6       ;2022-07-08;8;15:39:20;15:45:22;361.83;0
30010;9.525;9.525;12192;12239;2022-07-08 15:25;2022-07-17 06:27;COMPLETED;30010;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 15:45;2022-07-08 15:52;7       ;2022-07-08;8;15:45:22;15:52:02;400.16;0
40005;9.525;9.525;12192;12236;2022-07-09 06:10;2022-07-17 06:27;COMPLETED;40005;C8X11.5;Channel;2988;11.34;203.2;2022-07-09 06:19;2022-07-09 06:40;21      ;2022-07-09;9;06:19:12;06:40:24;1272.04;0
40005;9.525;9.525;12192;12236;2022-07-09 06:10;2022-07-17 06:27;COMPLETED;40005;C8X11.5;Channel;2988;11.34;203.2;2022-07-09 06:40;2022-07-09 06:48;8       ;2022-07-09;9;06:40:25;06:48:01;456.58;0
40005;9.525;9.525;12192;12236;2022-07-09 06:10;2022-07-17 06:27;COMPLETED;40005;C8X11.5;Channel;2988;11.34;203.2;2022-07-09 06:48;2022-07-09 07:00;12      ;2022-07-09;9;06:48:01;07:00:25;743.33;0
40005;9.525;9.525;12192;12236;2022-07-09 06:10;2022-07-17 06:27;COMPLETED;40005;C8X11.5;Channel;2988;11.34;203.2;2022-07-09 07:00;2022-07-09 07:07;7       ;2022-07-09;9;07:00:25;07:07:13;408.62;0
40006;9.525;9.525;12192;12236;2022-07-09 07:08;2022-07-17 06:27;COMPLETED;40006;C8X11.5;Channel;2988;11.34;203.2;2022-07-09 07:09;2022-07-09 07:15;6       ;2022-07-09;9;07:09:38;07:15:42;363.56;145.2070001
40006;9.525;9.525;12192;12236;2022-07-09 07:08;2022-07-17 06:27;COMPLETED;40006;C8X11.5;Channel;2988;11.34;203.2;2022-07-09 07:15;2022-07-09 07:21;6       ;2022-07-09;9;07:15:42;07:21:47;365.36;0
40006;9.525;9.525;12192;12236;2022-07-09 07:08;2022-07-17 06:27;COMPLETED;40006;C8X11.5;Channel;2988;11.34;203.2;2022-07-09 07:21;2022-07-09 07:27;6       ;2022-07-09;9;07:21:47;07:27:51;363.58;0
40007;9.525;9.525;12192;12243;2022-07-09 07:35;2022-07-17 06:27;COMPLETED;40007;C8X11.5;Channel;2988;11.34;203.2;2022-07-09 07:36;2022-07-09 07:43;7       ;2022-07-09;9;07:36:49;07:43:01;372.02;537.5999997
40007;9.525;9.525;12192;12243;2022-07-09 07:35;2022-07-17 06:27;COMPLETED;40007;C8X11.5;Channel;2988;11.34;203.2;2022-07-09 07:43;2022-07-09 07:49;6       ;2022-07-09;9;07:43:01;07:49:01;360.55;0
40007;9.525;9.525;12192;12243;2022-07-09 07:35;2022-07-17 06:27;COMPLETED;40007;C8X11.5;Channel;2988;11.34;203.2;2022-07-09 07:49;2022-07-09 07:55;6       ;2022-07-09;9;07:49:01;07:55:04;363.07;0
40007;9.525;9.525;12192;12243;2022-07-09 07:35;2022-07-17 06:27;COMPLETED;40007;C8X11.5;Channel;2988;11.34;203.2;2022-07-09 07:55;2022-07-09 08:01;6       ;2022-07-09;9;07:55:04;08:01:39;394.76;0
40008;9.525;9.525;12192;12244;2022-07-09 08:02;2022-07-17 06:27;COMPLETED;40008;C8X11.5;Channel;2988;11.34;203.2;2022-07-09 08:15;2022-07-09 08:23;8       ;2022-07-09;9;08:15:59;08:23:34;454.85;859.7679999
40008;9.525;9.525;12192;12244;2022-07-09 08:02;2022-07-17 06:27;COMPLETED;40008;C8X11.5;Channel;2988;11.34;203.2;2022-07-09 08:23;2022-07-09 08:30;7       ;2022-07-09;9;08:23:34;08:30:24;410.29;0
40008;9.525;9.525;12192;12244;2022-07-09 08:02;2022-07-17 06:27;COMPLETED;40008;C8X11.5;Channel;2988;11.34;203.2;2022-07-09 08:30;2022-07-09 08:36;6       ;2022-07-09;9;08:30:25;08:36:49;384.60;0
40008;9.525;9.525;12192;12244;2022-07-09 08:02;2022-07-17 06:27;COMPLETED;40008;C8X11.5;Channel;2988;11.34;203.2;2022-07-09 08:36;2022-07-09 08:45;9       ;2022-07-09;9;08:36:49;08:45:59;549.58;0
60019;9.525;9.525;12192;12242;2022-07-15 06:37;2022-07-18 16:04;COMPLETED;60019;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 06:39;2022-07-15 06:56;17      ;2022-07-15;15;06:39:18;06:56:40;1042.27;0
60019;9.525;9.525;12192;12242;2022-07-15 06:37;2022-07-18 16:04;COMPLETED;60019;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 06:56;2022-07-15 07:02;6       ;2022-07-15;15;06:56:40;07:02:43;362.96;0
60019;9.525;9.525;12192;12242;2022-07-15 06:37;2022-07-18 16:04;COMPLETED;60019;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 07:02;2022-07-15 07:08;6       ;2022-07-15;15;07:02:43;07:08:46;363.56;0
60019;9.525;9.525;12192;12242;2022-07-15 06:37;2022-07-18 16:04;COMPLETED;60019;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 07:08;2022-07-15 07:16;8       ;2022-07-15;15;07:08:46;07:16:41;474.68;0
60020;9.525;9.525;12192;12234;2022-07-15 07:22;2022-07-18 09:20;COMPLETED;60020;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 07:24;2022-07-15 07:38;14      ;2022-07-15;15;07:24:37;07:38:01;804.56;475.7839996
60020;9.525;9.525;12192;12234;2022-07-15 07:22;2022-07-18 09:20;COMPLETED;60020;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 07:38;2022-07-15 07:44;6       ;2022-07-15;15;07:38:01;07:44:08;366.62;0
60020;9.525;9.525;12192;12234;2022-07-15 07:22;2022-07-18 09:20;COMPLETED;60020;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 07:44;2022-07-15 08:05;21      ;2022-07-15;15;07:44:08;08:05:33;1285.20;0
60020;9.525;9.525;12192;12234;2022-07-15 07:22;2022-07-18 09:20;COMPLETED;60020;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 08:05;2022-07-15 08:11;6       ;2022-07-15;15;08:05:33;08:11:40;366.54;0
60021;9.525;9.525;12192;12242;2022-07-15 08:21;2022-07-18 09:20;COMPLETED;60021;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 08:23;2022-07-15 08:29;6       ;2022-07-15;15;08:23:37;08:29:55;378.00;717.6199999
60021;9.525;9.525;12192;12242;2022-07-15 08:21;2022-07-18 09:20;COMPLETED;60021;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 08:29;2022-07-15 09:17;48      ;2022-07-15;15;08:29:55;09:17:39;2863.18;0
60021;9.525;9.525;12192;12242;2022-07-15 08:21;2022-07-18 09:20;COMPLETED;60021;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 09:17;2022-07-15 09:23;6       ;2022-07-15;15;09:17:39;09:23:48;369.57;0
60021;9.525;9.525;12192;12242;2022-07-15 08:21;2022-07-18 09:20;COMPLETED;60021;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 09:23;2022-07-15 09:29;6       ;2022-07-15;15;09:23:48;09:29:51;362.37;0
60022;9.525;9.525;12192;12240;2022-07-15 10:14;2022-07-18 09:20;COMPLETED;60022;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 10:16;2022-07-15 10:22;6       ;2022-07-15;15;10:16:10;10:22:19;369.03;2779.152
60022;9.525;9.525;12192;12240;2022-07-15 10:14;2022-07-18 09:20;COMPLETED;60022;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 10:22;2022-07-15 10:29;7       ;2022-07-15;15;10:22:19;10:29:12;412.90;0
60022;9.525;9.525;12192;12240;2022-07-15 10:14;2022-07-18 09:20;COMPLETED;60022;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 10:29;2022-07-15 10:52;23      ;2022-07-15;15;10:29:12;10:52:47;1415.29;0
